#QUERIES;AGG-PAIRS-L-MERGE;AGG-PAIRS-E-MERGE;AGG-B2B-L-MERGE;AGG-B2B-E-MERGE;AGG-GEN-L-MERGE;AGG-GEN-E-MERGE;AGG-PAIRS-L-UPDATE;AGG-PAIRS-E-UPDATE;AGG-B2B-L-UPDATE;AGG-B2B-E-UPDATE;AGG-GEN-L-UPDATE;AGG-GEN-E-UPDATE;RED-PAIRS-L;RED-PAIRS-E;RED-B2B-L;RED-B2B-E;RED-GEN-L;RED-GEN-E;MAXB-PAIR-L;MAXB-PAIR-E;MAXB-B2B-L;MAXB-B2B-E;MAXB-GEN-L;MAXB-GEN-E;AVGB-PAIR-L;AVGB-PAIR-E;AVGB-B2B-L;AVGB-B2B-E;AVGB-GEN-L;AVGB-GEN-E;PARTIALS-PAIR-L;PARTIALS-PAIR-E;PARTIALS-B2B-L;PARTIALS-B2B-E;PARTIALS-GEN-L;PARTIALS-GEN-E;AVGCPU-PAIR-L;AVGCPU-PAIR-E;AVGCPU-B2B-L;AVGCPU-B2B-E;AVGCPU-GEN-L;AVGCPU-GEN-E;TOTALCPU-PAIR-L;TOTALCPU-PAIR-E;TOTALCPU-B2B-L;TOTALCPU-B2B-E;TOTALCPU-GEN-L;TOTALCPU-GEN-E;MAXB-NO;AVGB-NO;RED-NO;WINDOWS
1;9252;4626;6626;3626;62446374;62435;32381251;32399756;32385878;32385878;0;858082771;32390503;32404382;32390504;32390504;62446374;858145206;4;7;4;7;16384;32767;4.0;8.0;2.0;5.0;2977.4545454545455;5953.909090909091;9255;9255;4628;4628;32390506;32390506;224.0;220.0;217.0;217.0;633.0;4367.0;7281250000;7156250000;7031250000;7046875000;20515625000;1,41E+11;1024;290;62446374;4626
10;2914337;470730;1855827;41788;1512769315;1252443;32325724;32762850;32349169;32611235;0;922680786;35240061;33233580;34204996;33075957;1512769315;923933229;64;127;32;63;32768;65535;24.8;48.6;15;29;5460;10919;64782;64782;41337;41337;32390506;32390506;419.0;395.0;348.0;357.0;5998.0;5417.0;13593750000;12796875000;11281250000;11578125000;1,94E+11;1,75E+11;10240;2900;624463740;102737
20;4376711;1001422;2987872;575069;2272125935;1918268;32325724;32762850;32346225;32622505;0;922680786;36702435;33464272;35334097;33337574;2272125935;924599054;64;127;32;63;32768;65535;24.8;48.6;15.0;29.0;5460.0;10919.0;64782;64782;44281;44281;32390506;32390506;631.0;622.0;497.0;497.0;8858.0;5778.0;20468750000;20171875000;16125000000;16125000000;2,87E+11;1,87E+11;20480;5800;1248927480;155633
30;7838911;1221885;6244012;1104581;4091467892;3425990;32325724;32791663;32338151;32738416;0;922652786;40164635;34013548;38582163;33842997;4091467892;926078776;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;995.0;907.0;677.0;631.0;13364.0;5749.0;32234375000;29390625000;21953125000;20468750000;4,33E+11;1,86E+11;30720;8700;1873391220;274100
40;10188061;1593907;8122743;1451464;5315777522;4457785;32325724;32789298;32338151;32737249;0;922652786;42513785;34383205;40460894;34188713;5315777522;927110571;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460;10919;64782;64782;52355;52355;32390506;32390506;1321.0;1308.0;768.0;759.0;18819.0;6448.0;42812500000;42390625000;24906250000;24609375000;6,10E+11;2,09E+11;40960;11600;2497854960;356970
50;13759550;2206177;10967908;1979633;7164212201;6065550;32325724;32797976;32338151;32745810;0;922652786;46085274;35004153;43306059;34725443;7164212201;928718336;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;1737.0;1745.0;1018.0;949.0;23795.0;6400.0;56281250000;56531250000;33000000000;30765625000;7,71E+11;2,07E+11;51200;14500;3122318700;483139
60;17668152;2747071;14097820;2433059;9158204293;7641777;32325724;32851410;32338151;32801815;0;922652786;49993876;35598481;46435971;35234874;9158204293;930294563;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;52355;52355;32390506;32390506;2211.0;2238.0;1137.0;1098.0;28357.0;6467.0;71625000000;72500000000;36859375000;35593750000;9,19E+11;2,09E+11;61440;17400;3746782440;598687
70;20039002;3134994;16192379;2796879;10378611926;8654381;32325724;32855724;32337495;32808500;0;922652786;52364726;35990718;48529874;35605379;10378611926;931307167;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;2742.0;2830.0;1340.0;1285.0;36732.0;7275.0;88843750000;91687500000;43406250000;41625000000;1,19E+12;2,36E+11;71680;20300;4371246180;680458
80;21876884;3412697;17684328;3056064;11333899061;9432559;32325724;32855724;32337495;32808500;0;922652786;54202608;36268421;50021823;35864564;11333899061;932085345;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;3384.0;3567.0;1462.0;1434.0;39154.0;7581.0;1,10E+11;1,16E+11;47375000000;46468750000;1,27E+12;2,46E+11;81920;23200;4995709920;741447
90;24948717;3927788;20128648;3505581;12831319737;10562782;32325724;32873520;32337495;32827317;0;922652786;57274441;36801308;52466143;36332898;12831319737;933215568;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;4179.0;3909.0;1644.0;1551.0;42781.0;7916.0;1,35E+11;1,27E+11;53265625000;50265625000;1,39E+12;2,56E+11;92160;26100;5620173660;836947
100;27161700;4243029;21925948;3785175;13973280866;11436950;32325724;32873520;32337495;32827317;0;922652786;59487424;37116549;54263443;36612492;13973280866;934089736;64;127;64;127;32768;65535;24.8;48.6;24.8;48.6;5460.0;10919.0;64782;64782;53011;53011;32390506;32390506;4664.0;4700.0;1790.0;1764.0;43194.0;8128.0;1,51E+11;1,52E+11;57984375000;57140625000;1,40E+12;2,63E+11;102400;29000;6244637400;905986